Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Hotel Polo Nautico,https://www.hotelpolonautico.it,https://www.google.com/maps/search/?api=1&query=Hotel+Polo+Nautico+Salerno,Hotel 4 stelle,3,,,,2026-06-10,,No,Salerno,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,30 camere unico hotel sul lungomare di Salerno vista mare indipendente. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Polo Nautico; Hotel 4 stelle; Salerno; 30 camere unico hotel sul lungomare di Salerno vista mare indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villa Scarpariello Relais,https://www.villascarpariellorelais.it,https://www.google.com/maps/search/?api=1&query=Villa+Scarpariello+Relais+Ravello,Relais / boutique,3,info@villascarpariellorelais.it,,,2026-06-10,,No,Ravello,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Marmorata relais fronte mare torre storica boutique luxury. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Villa Scarpariello Relais; Relais / boutique; Ravello; Marmorata relais fronte mare torre storica boutique luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Ravello Art Hotel Marmorata,https://hotelmarmorata.com,https://www.google.com/maps/search/?api=1&query=Ravello+Art+Hotel+Marmorata+Ravello,Hotel 4 stelle,3,,,,2026-06-10,,No,Ravello,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Marmorata ex cartiera beach club spa piscina vista mare. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Ravello Art Hotel Marmorata; Hotel 4 stelle; Ravello; Marmorata ex cartiera beach club spa piscina vista mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Palazzo Pascal,https://palazzopascal.it,https://www.google.com/maps/search/?api=1&query=Palazzo+Pascal+Scala,Hotel 5 stelle boutique,2,info@palazzopascal.it,,,2026-06-10,,No,Scala,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Frazione Minuta dimora nobiliare gestione familiare boutique luxury. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Palazzo Pascal; Hotel 5 stelle boutique; Scala; Frazione Minuta dimora nobiliare gestione familiare boutique luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Palazzo Ferraioli Hotel & Wellness,https://www.palazzoferraioli.it,https://www.google.com/maps/search/?api=1&query=Palazzo+Ferraioli+Hotel+%26+Wellness+Atrani,Hotel & wellness,3,info@palazzoferraioli.it,,,2026-06-10,,No,Atrani,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Edificio primi '900 centro benessere vicino spiaggia di Atrani. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Palazzo Ferraioli Hotel & Wellness; Hotel & wellness; Atrani; Edificio primi '900 centro benessere vicino spiaggia di Atrani; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Atrani Rooms,https://www.atranirooms.it,https://www.google.com/maps/search/?api=1&query=Atrani+Rooms+Atrani,B&B / affittacamere,4,info@atranirooms.it,,,2026-06-10,,No,Atrani,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Via dei Dogi familiare camere e mini suite vicino al mare. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Atrani Rooms; B&B / affittacamere; Atrani; Via dei Dogi familiare camere e mini suite vicino al mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villa Romana Hotel & Spa,https://www.hotelvillaromana.it,https://www.google.com/maps/search/?api=1&query=Villa+Romana+Hotel+%26+Spa+Minori,Hotel 4 stelle,3,info@hotelvillaromana.it,,,2026-06-10,,No,Minori,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Corso Vittorio Emanuele spa vicino centro storico e mare. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Villa Romana Hotel & Spa; Hotel 4 stelle; Minori; Corso Vittorio Emanuele spa vicino centro storico e mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Minori Palace,https://minoripalace.com,https://www.google.com/maps/search/?api=1&query=Minori+Palace+Minori,Hotel 4 stelle,3,reservations@minoripalace.com,,,2026-06-10,,No,Minori,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,44 camere rooftop ristorante panoramico centro Minori. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Minori Palace; Hotel 4 stelle; Minori; 44 camere rooftop ristorante panoramico centro Minori; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Europa,https://www.hoteleuropaminori.it,https://www.google.com/maps/search/?api=1&query=Hotel+Europa+Minori,Hotel 3 stelle,3,info@hoteleuropaminori.it,,,2026-06-10,,No,Minori,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Strada Nuova gestione familiare centro Minori parcheggio privato. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Europa; Hotel 3 stelle; Minori; Via Strada Nuova gestione familiare centro Minori parcheggio privato; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Botanico San Lazzaro,https://hbsl.com,https://www.google.com/maps/search/?api=1&query=Hotel+Botanico+San+Lazzaro+Maiori,Boutique 5 stelle,2,info@hbsl.it,,,2026-06-10,,No,Maiori,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Antico quartiere Lazzaro boutique panoramico vista mare luxury. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Botanico San Lazzaro; Boutique 5 stelle; Maiori; Antico quartiere Lazzaro boutique panoramico vista mare luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Reginna Palace Hotel,https://www.hotelreginna.it,https://www.google.com/maps/search/?api=1&query=Reginna+Palace+Hotel+Maiori,Hotel 4 stelle,3,info@reginna.it,,,2026-06-10,,No,Maiori,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Colombo grande struttura piscine vicino lungomare 4 stelle classico. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Reginna Palace Hotel; Hotel 4 stelle; Maiori; Via Colombo grande struttura piscine vicino lungomare 4 stelle classico; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel San Francesco,https://www.hotel-sanfrancesco.it,https://www.google.com/maps/search/?api=1&query=Hotel+San+Francesco+Maiori,Hotel 4 stelle,3,info@hotel-sanfrancesco.it,,,2026-06-10,,No,Maiori,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Santa Tecla vicino centro storico fronte mare. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel San Francesco; Hotel 4 stelle; Maiori; Via Santa Tecla vicino centro storico fronte mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Panorama,https://www.hotelpanoramamaiori.com,https://www.google.com/maps/search/?api=1&query=Hotel+Panorama+Maiori,Hotel 4 stelle,3,,,,2026-06-10,,No,Maiori,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Santa Tecla piscina roof restaurant centro Maiori fronte mare. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Panorama; Hotel 4 stelle; Maiori; Via Santa Tecla piscina roof restaurant centro Maiori fronte mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Cetus,https://www.hotelcetus.com,https://www.google.com/maps/search/?api=1&query=Hotel+Cetus+Cetara,Hotel 4 stelle,3,info@hotelcetus.com,,,2026-06-10,,No,Cetara,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Corso Umberto I promontorio a picco sul mare spiaggia privata wellness unico 4 stelle del borgo. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Cetus; Hotel 4 stelle; Cetara; Corso Umberto I promontorio a picco sul mare spiaggia privata wellness unico 4 stelle del borgo; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Cetara Albergo Diffuso,https://www.cetaraalbergodiffuso.com,https://www.google.com/maps/search/?api=1&query=Cetara+Albergo+Diffuso+Cetara,Albergo diffuso,3,cetaraalbergodiffuso@gmail.com,,,2026-06-10,,No,Cetara,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Piazza Martiri Ungheresi camere e suite diffuse nel borgo marinaro. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Cetara Albergo Diffuso; Albergo diffuso; Cetara; Piazza Martiri Ungheresi camere e suite diffuse nel borgo marinaro; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Tenuta San Francesco wine resort,https://www.vinitenutasanfrancesco.com,https://www.google.com/maps/search/?api=1&query=Tenuta+San+Francesco+wine+resort+Tramonti,Cantina / wine experience,3,aziendasanfrancesco@libero.it,,,2026-06-10,,No,Tramonti,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Casale '700 Parco dei Lattari degustazioni Costa d'Amalfi DOC vigne pre-fillossera. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Tenuta San Francesco wine resort; Cantina / wine experience; Tramonti; Casale '700 Parco dei Lattari degustazioni Costa d'Amalfi DOC vigne pre-fillossera; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Amalfi Tour Guide,https://www.amalfitourguide.com,https://www.google.com/maps/search/?api=1&query=Amalfi+Tour+Guide+Amalfi,Tour operator / guide,3,info@amalfitourguide.com,,,2026-06-10,,No,Amalfi,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Base ad Amalfi escursioni e trekking guide locali tutta la costiera. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Amalfi Tour Guide; Tour operator / guide; Amalfi; Base ad Amalfi escursioni e trekking guide locali tutta la costiera; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
AmalfiDriver.com,https://amalfidriver.com,https://www.google.com/maps/search/?api=1&query=AmalfiDriver.com+Amalfi,NCC / tour & transfer,3,booking@amalfidriver.com,,,2026-06-10,,No,Amalfi,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Transfer privati e tour costiera Pompei Napoli NCC licenziato. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,AmalfiDriver.com; NCC / tour & transfer; Amalfi; Transfer privati e tour costiera Pompei Napoli NCC licenziato; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
